,TEAM,Team_id,year,month,FGA,FG_P,3PA,3P_P,OFFRTG,DEFRTG,REB_P,AST/TO,PACE
63,Dallas Mavericks,Dallas Mavericks_12_2010,2010,12,78.1,47.6,20.8,37.1,107.0,101.9,49.9,1.77,92.64
64,Chicago Bulls,Chicago Bulls_12_2010,2010,12,80.9,46.3,15.3,38.8,103.9,96.3,51.1,1.44,92.36
65,Houston Rockets,Houston Rockets_12_2010,2010,12,82.9,47.1,22.3,41.8,113.3,106.8,50.8,1.7,95.11
66,Oklahoma City Thunder,Oklahoma City Thunder_12_2010,2010,12,81.3,46.3,16.3,34.6,110.0,104.3,50.0,1.56,94.28
67,Los Angeles Lakers,Los Angeles Lakers_12_2010,2010,12,79.9,46.3,17.4,31.0,105.9,101.7,51.3,1.47,92.53
68,New York Knicks,New York Knicks_12_2010,2010,12,84.8,47.5,25.1,40.2,109.6,108.3,46.3,1.59,97.76
69,Atlanta Hawks,Atlanta Hawks_12_2010,2010,12,77.2,46.0,16.4,36.0,102.7,101.4,49.4,1.65,90.56
70,Utah Jazz,Utah Jazz_12_2010,2010,12,79.0,45.6,17.1,34.6,107.9,106.8,49.6,1.71,90.54
71,Portland Trail Blazers,Portland Trail Blazers_12_2010,2010,12,80.1,43.9,17.3,33.9,105.1,103.8,50.6,1.54,89.91
72,Denver Nuggets,Denver Nuggets_12_2010,2010,12,77.9,46.7,22.1,37.2,112.0,110.2,50.5,1.36,95.7
73,Philadelphia 76ers,Philadelphia 76ers_12_2010,2010,12,81.3,44.3,16.2,32.5,104.1,103.6,50.5,1.73,91.63
74,Orlando Magic,Orlando Magic_12_2010,2010,12,78.4,46.0,24.2,36.2,105.0,102.8,51.2,1.27,92.13
75,Los Angeles Clippers,Los Angeles Clippers_12_2010,2010,12,79.3,46.0,20.2,34.7,104.4,103.5,52.2,1.42,92.33
76,Milwaukee Bucks,Milwaukee Bucks_12_2010,2010,12,78.9,41.7,13.4,36.8,98.7,102.0,49.5,1.28,90.38
77,New Orleans Hornets,New Orleans Hornets_12_2010,2010,12,77.9,44.5,13.9,31.5,101.5,102.1,52.1,1.43,89.82
78,Memphis Grizzlies,Memphis Grizzlies_12_2010,2010,12,83.2,45.6,10.9,34.2,104.8,103.3,50.2,1.41,93.01
79,Phoenix Suns,Phoenix Suns_12_2010,2010,12,80.8,48.3,21.5,37.5,108.4,109.5,49.4,1.57,95.4
80,Charlotte Bobcats,Charlotte Bobcats_12_2010,2010,12,76.6,42.8,13.9,34.0,95.3,105.2,50.6,1.06,91.6
81,Golden State Warriors,Golden State Warriors_12_2010,2010,12,83.4,46.1,22.1,43.4,105.6,109.3,47.9,1.41,95.47
82,Detroit Pistons,Detroit Pistons_12_2010,2010,12,80.4,45.2,18.1,38.4,104.5,108.5,48.4,1.54,89.85
83,Indiana Pacers,Indiana Pacers_12_2010,2010,12,81.6,42.6,22.9,35.2,98.0,102.8,47.4,1.25,95.73
84,Toronto Raptors,Toronto Raptors_12_2010,2010,12,83.9,48.5,16.9,34.3,107.1,112.1,50.0,1.4,96.13
85,Minnesota Timberwolves,Minnesota Timberwolves_12_2010,2010,12,85.1,46.1,19.1,41.2,107.3,111.5,51.5,1.28,97.78
86,New Jersey Nets,New Jersey Nets_12_2010,2010,12,79.8,41.9,14.1,29.2,96.0,104.8,50.0,1.09,92.37
87,Washington Wizards,Washington Wizards_12_2010,2010,12,82.5,42.6,15.5,33.0,99.4,104.8,48.1,1.22,95.17
88,Sacramento Kings,Sacramento Kings_12_2010,2010,12,84.8,42.8,17.6,38.0,100.2,108.1,49.9,1.15,93.9
89,Cleveland Cavaliers,Cleveland Cavaliers_12_2010,2010,12,81.9,41.3,21.9,32.8,98.6,113.1,47.8,1.61,93.19
90,San Antonio Spurs,San Antonio Spurs_1_2011,2011,1,79.3,46.9,18.1,36.4,108.5,102.1,50.3,1.55,93.63
91,Boston Celtics,Boston Celtics_1_2011,2011,1,75.8,50.2,16.1,40.3,109.0,101.9,48.4,1.69,90.75
92,Chicago Bulls,Chicago Bulls_1_2011,2011,1,79.3,45.0,16.1,36.6,105.5,97.0,52.2,1.68,90.66
93,New Orleans Hornets,New Orleans Hornets_1_2011,2011,1,78.6,46.3,14.6,37.2,106.8,100.3,52.4,1.6,88.46
94,Atlanta Hawks,Atlanta Hawks_1_2011,2011,1,80.4,45.3,22.1,35.9,108.2,106.2,50.0,1.53,91.08
95,Los Angeles Lakers,Los Angeles Lakers_1_2011,2011,1,80.3,48.8,16.8,35.7,113.7,105.0,52.2,1.74,90.23
96,Memphis Grizzlies,Memphis Grizzlies_1_2011,2011,1,83.0,46.7,10.0,28.8,108.2,104.5,52.7,1.5,90.97
97,Los Angeles Clippers,Los Angeles Clippers_1_2011,2011,1,83.4,46.4,20.6,33.6,111.9,108.9,53.1,1.57,94.18
98,Miami Heat,Miami Heat_1_2011,2011,1,79.1,46.2,20.6,37.5,108.7,105.3,50.9,1.29,91.84
99,Orlando Magic,Orlando Magic_1_2011,2011,1,81.9,46.5,28.1,36.7,111.9,103.9,51.6,1.56,92.95
100,Denver Nuggets,Denver Nuggets_1_2011,2011,1,80.6,48.5,19.5,41.9,114.3,109.7,49.4,1.67,95.68
101,Philadelphia 76ers,Philadelphia 76ers_1_2011,2011,1,80.9,47.6,15.4,36.3,107.4,104.5,50.5,1.69,91.0
102,Portland Trail Blazers,Portland Trail Blazers_1_2011,2011,1,84.4,43.7,18.2,33.7,105.5,104.5,50.7,1.6,90.3
103,Charlotte Bobcats,Charlotte Bobcats_1_2011,2011,1,79.8,43.9,16.8,32.0,104.8,104.6,49.8,1.59,89.01
104,Oklahoma City Thunder,Oklahoma City Thunder_1_2011,2011,1,82.7,45.8,15.9,30.9,108.4,110.5,51.0,1.46,94.42
