,Game_Result,Team1_FGA,Team1_FG_P,Team1_3PA,Team1_3P_P,Team1_OFFRTG,Team1_DEFRTG,Team1_REB_P,Team1_AST/TO,Team1_PACE,Team2_FGA,Team2_FG_P,Team2_3PA,Team2_3P_P,Team2_OFFRTG,Team2_DEFRTG,Team2_REB_P,Team2_AST/TO,Team2_PACE
2379,1,86.6,42.4,26.0,37.4,99.7,106.7,46.2,1.45,100.36,87.5,47.2,30.8,31.9,105.5,108.8,50.1,1.28,98.78
2396,0,87.7,42.8,21.1,33.1,101.8,102.7,53.4,1.45,96.36,87.5,47.2,30.8,31.9,105.5,108.8,50.1,1.28,98.78
2417,0,83.6,43.8,28.9,35.1,103.9,98.1,51.4,1.45,97.21,87.5,47.2,30.8,31.9,105.5,108.8,50.1,1.28,98.78
2430,0,85.7,46.3,22.9,38.8,109.0,114.6,48.4,1.44,99.03,87.5,47.2,30.8,31.9,105.5,108.8,50.1,1.28,98.78
2447,1,89.0,41.8,31.1,35.1,97.9,109.5,49.0,1.6,98.55,81.5,43.4,32.8,37.0,100.3,103.5,48.7,1.31,97.1
2542,0,84.0,46.4,25.9,37.1,108.4,106.4,50.3,1.48,97.09,81.5,43.4,32.8,37.0,100.3,103.5,48.7,1.31,97.1
2573,0,86.0,48.3,25.1,42.0,108.7,108.7,49.2,1.73,99.07,81.5,43.4,32.8,37.0,100.3,103.5,48.7,1.31,97.1
2594,1,84.2,44.6,31.8,37.4,107.9,100.3,52.2,1.58,96.78,81.5,43.4,32.8,37.0,100.3,103.5,48.7,1.31,97.1
2660,1,87.8,42.7,23.8,33.4,102.7,105.9,51.8,1.52,98.76,80.0,46.8,29.9,38.5,108.4,108.8,49.9,1.49,93.03
2672,0,84.8,50.9,27.1,37.7,113.4,103.8,50.5,2.03,98.15,80.0,46.8,29.9,38.5,108.4,108.8,49.9,1.49,93.03
2745,0,85.7,44.9,26.6,35.5,104.8,108.5,48.9,1.32,95.46,80.0,46.8,29.9,38.5,108.4,108.8,49.9,1.49,93.03
2770,1,84.5,45.2,30.7,35.2,107.8,106.3,49.7,1.62,97.5,80.0,46.8,29.9,38.5,108.4,108.8,49.9,1.49,93.03
2812,1,82.8,47.5,30.4,38.9,109.8,108.0,48.3,2.04,94.0,80.0,46.8,29.9,38.5,108.4,108.8,49.9,1.49,93.03
2824,0,84.9,50.7,29.3,43.2,113.5,112.3,49.1,1.9,100.54,80.0,46.8,29.9,38.5,108.4,108.8,49.9,1.49,93.03
2837,1,86.3,44.6,27.1,32.5,101.8,111.0,47.8,1.5,98.09,80.0,46.8,29.9,38.5,108.4,108.8,49.9,1.49,93.03
2861,0,85.1,43.5,35.6,35.4,105.4,107.0,50.9,1.43,97.79,80.0,46.8,29.9,38.5,108.4,108.8,49.9,1.49,93.03
2895,1,87.9,45.7,27.6,37.2,106.3,110.3,49.4,1.89,97.45,83.9,45.4,29.7,33.7,104.2,102.2,52.1,1.6,95.04
2907,1,85.8,47.6,21.8,40.1,106.4,110.9,50.0,1.6,97.52,83.9,45.4,29.7,33.7,104.2,102.2,52.1,1.6,95.04
2923,1,84.9,46.5,29.3,34.9,105.9,105.9,51.1,1.45,97.34,83.9,45.4,29.7,33.7,104.2,102.2,52.1,1.6,95.04
2971,1,79.7,47.9,23.8,37.0,108.2,108.3,49.2,1.55,97.09,83.9,45.4,29.7,33.7,104.2,102.2,52.1,1.6,95.04
3047,0,85.7,45.8,23.4,39.1,103.7,111.0,48.8,1.46,97.64,83.9,45.4,29.7,33.7,104.2,102.2,52.1,1.6,95.04
3064,1,87.2,45.8,29.1,37.6,111.8,106.5,52.0,1.74,97.96,83.9,45.4,29.7,33.7,104.2,102.2,52.1,1.6,95.04
3129,0,83.6,46.3,29.5,36.9,107.6,112.3,48.1,1.69,97.73,88.9,44.2,28.8,35.4,108.1,107.6,50.3,1.75,96.89
3143,0,82.1,47.1,40.7,36.9,118.0,103.5,49.4,1.77,95.54,88.9,44.2,28.8,35.4,108.1,107.6,50.3,1.75,96.89
3158,1,83.2,45.7,24.6,33.6,105.8,106.9,47.9,1.44,96.45,88.9,44.2,28.8,35.4,108.1,107.6,50.3,1.75,96.89
3221,1,83.4,41.7,24.5,32.7,96.8,110.9,50.7,1.25,97.45,88.9,44.2,28.8,35.4,108.1,107.6,50.3,1.75,96.89
3245,1,85.2,46.1,29.5,36.6,108.3,102.2,51.2,1.66,97.82,88.9,44.2,28.8,35.4,108.1,107.6,50.3,1.75,96.89
3258,0,86.6,46.7,32.8,36.0,109.5,108.3,50.7,1.68,100.77,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3274,1,87.9,44.8,29.3,36.8,105.0,105.0,49.2,1.65,96.39,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3288,1,88.0,43.8,29.1,33.8,99.6,113.9,48.4,1.28,101.71,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3309,1,88.0,48.2,32.4,38.0,111.9,102.3,51.6,2.02,101.47,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3324,1,84.3,46.8,25.7,39.2,107.7,109.2,51.4,1.8,95.44,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3390,1,86.8,48.6,32.5,40.8,115.6,113.1,50.4,1.79,98.61,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3404,1,91.3,46.2,26.1,34.0,107.3,114.6,49.1,1.74,98.42,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3448,1,87.1,48.6,30.4,37.6,114.5,112.2,48.9,1.93,98.31,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3462,1,89.3,41.8,32.9,33.2,103.2,112.7,50.7,1.63,97.93,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3478,0,87.1,44.9,35.5,38.0,111.1,114.3,48.6,1.78,98.57,89.7,47.0,31.3,37.7,111.1,106.7,49.3,1.93,96.75
3495,1,87.7,44.3,34.0,35.3,101.8,105.9,49.8,1.66,99.0,93.2,43.8,29.2,32.9,104.4,105.4,50.7,1.81,98.35
3543,0,89.0,43.6,36.0,34.4,113.4,104.7,53.6,1.61,101.7,93.2,43.8,29.2,32.9,104.4,105.4,50.7,1.81,98.35
3559,1,87.8,46.5,34.3,33.0,106.9,100.2,53.3,1.83,95.02,93.2,43.8,29.2,32.9,104.4,105.4,50.7,1.81,98.35
3584,0,94.0,50.6,31.7,40.5,116.5,102.2,54.0,2.52,103.64,93.2,43.8,29.2,32.9,104.4,105.4,50.7,1.81,98.35
3590,0,94.0,50.6,31.7,40.5,116.5,102.2,54.0,2.52,103.64,93.2,43.8,29.2,32.9,104.4,105.4,50.7,1.81,98.35
3637,0,86.7,41.2,25.7,29.9,105.6,102.8,48.8,2.56,94.83,87.7,44.1,23.3,35.7,103.5,104.9,51.3,1.48,95.5
3652,0,85.5,45.3,21.0,45.2,115.1,96.9,53.9,1.82,95.25,87.7,44.1,23.3,35.7,103.5,104.9,51.3,1.48,95.5
3665,1,84.4,45.0,23.5,35.3,106.1,109.2,50.3,1.49,95.34,85.6,42.4,25.9,32.7,101.8,103.8,49.0,1.53,93.72
3732,0,88.4,43.0,20.5,31.0,107.0,103.6,52.1,1.54,95.82,85.6,42.4,25.9,32.7,101.8,103.8,49.0,1.53,93.72
3750,0,78.8,46.6,26.3,34.9,108.7,101.1,50.6,1.53,92.13,85.6,42.4,25.9,32.7,101.8,103.8,49.0,1.53,93.72
3769,0,84.3,45.6,26.2,32.7,101.7,102.8,50.5,1.27,99.13,85.6,42.4,25.9,32.7,101.8,103.8,49.0,1.53,93.72
3785,1,85.0,46.4,25.6,34.5,106.6,104.2,51.6,1.59,96.92,85.6,42.4,25.9,32.7,101.8,103.8,49.0,1.53,93.72
3857,0,82.4,42.0,25.1,31.6,101.6,102.8,50.2,1.34,92.66,85.6,42.4,25.9,32.7,101.8,103.8,49.0,1.53,93.72
3869,0,87.1,43.8,31.7,35.5,107.9,107.5,47.0,2.02,96.7,85.6,42.4,25.9,32.7,101.8,103.8,49.0,1.53,93.72
3931,0,90.6,43.7,25.3,35.6,106.9,109.7,51.6,1.46,99.39,86.7,45.5,24.5,34.9,104.3,109.6,50.4,1.64,95.11
3976,1,83.3,49.5,22.7,37.2,111.3,108.9,49.3,1.68,97.87,86.7,45.5,24.5,34.9,104.3,109.6,50.4,1.64,95.11
3988,1,82.8,44.8,23.2,36.2,106.2,106.3,47.1,1.65,98.53,86.7,45.5,24.5,34.9,104.3,109.6,50.4,1.64,95.11
4010,0,85.5,46.8,28.9,38.1,110.6,111.0,50.3,1.66,97.0,86.7,45.5,24.5,34.9,104.3,109.6,50.4,1.64,95.11
4023,0,85.9,45.2,32.1,34.9,111.1,107.8,47.9,2.03,96.0,86.7,45.5,24.5,34.9,104.3,109.6,50.4,1.64,95.11
4034,0,86.6,46.9,27.4,35.8,109.6,111.9,47.7,1.98,95.72,86.7,45.5,24.5,34.9,104.3,109.6,50.4,1.64,95.11
4054,1,85.3,43.4,25.4,34.5,103.7,113.8,49.2,1.16,97.13,86.7,45.5,24.5,34.9,104.3,109.6,50.4,1.64,95.11
4087,0,82.4,45.8,25.2,30.0,108.4,107.3,52.0,1.4,95.96,86.7,45.5,24.5,34.9,104.3,109.6,50.4,1.64,95.11
4124,0,90.2,47.0,24.7,33.6,108.7,112.5,51.5,1.69,96.76,83.3,45.8,27.2,37.7,106.1,107.1,47.7,1.67,96.37
4237,1,85.5,46.1,39.5,33.2,111.7,109.0,48.8,1.67,100.62,83.3,45.8,27.2,37.7,106.1,107.1,47.7,1.67,96.37
4251,1,82.6,45.9,30.9,37.7,108.8,105.3,46.1,1.92,93.06,83.3,45.8,27.2,37.7,106.1,107.1,47.7,1.67,96.37
4268,1,82.7,46.5,21.7,38.2,108.0,113.5,48.9,1.6,95.37,83.3,45.8,27.2,37.7,106.1,107.1,47.7,1.67,96.37
4283,1,87.4,50.9,30.6,39.9,116.8,103.3,52.6,2.0,102.13,83.3,45.8,27.2,37.7,106.1,107.1,47.7,1.67,96.37
4319,1,90.2,47.0,24.7,33.6,108.7,112.5,51.5,1.69,96.76,83.3,45.8,27.2,37.7,106.1,107.1,47.7,1.67,96.37
4334,1,86.3,45.0,31.9,34.7,104.3,114.4,48.0,1.37,101.25,83.3,45.8,27.2,37.7,106.1,107.1,47.7,1.67,96.37
4350,1,82.5,44.8,25.6,30.1,102.7,105.7,49.9,1.37,98.48,86.5,48.1,28.5,39.0,113.4,104.5,53.2,1.44,97.27
4373,1,86.8,43.6,28.6,30.9,102.9,108.9,47.3,1.46,102.29,86.5,48.1,28.5,39.0,113.4,104.5,53.2,1.44,97.27
4438,0,82.2,43.2,21.5,29.8,99.0,108.3,48.7,1.31,98.55,86.5,48.1,28.5,39.0,113.4,104.5,53.2,1.44,97.27
4484,1,82.9,46.5,22.2,38.9,108.8,110.3,49.7,1.78,95.27,86.5,48.1,28.5,39.0,113.4,104.5,53.2,1.44,97.27
4512,1,87.0,45.4,30.1,33.5,103.9,108.7,48.9,1.49,99.63,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4535,1,83.1,48.2,32.8,37.2,111.6,114.8,47.7,1.81,95.15,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4565,1,86.3,45.7,29.8,35.8,114.3,111.5,48.7,2.66,93.52,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4592,1,83.3,45.7,22.9,36.1,108.4,104.1,53.5,1.28,94.79,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4622,1,87.9,46.3,28.7,35.7,108.9,101.8,50.2,1.92,97.67,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4638,1,84.1,47.3,17.9,35.9,111.4,112.0,49.3,1.77,93.99,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4653,0,84.3,48.7,24.9,41.7,113.2,106.6,52.3,1.45,97.02,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4667,1,89.9,45.0,20.8,29.2,103.4,109.0,49.1,1.43,103.84,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4682,0,83.3,45.7,22.9,36.1,108.4,104.1,53.5,1.28,94.79,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4745,0,85.1,44.6,21.6,31.6,105.4,109.4,47.7,1.7,95.75,86.6,46.2,29.8,36.5,112.3,106.1,49.7,1.6,95.03
4763,0,88.7,48.5,31.6,33.5,112.2,106.7,51.9,1.92,102.0,86.2,46.8,27.5,41.8,111.1,107.6,50.9,1.65,97.06
4820,1,87.6,47.3,38.4,36.8,111.6,109.9,51.0,1.6,96.47,86.2,46.8,27.5,41.8,111.1,107.6,50.9,1.65,97.06
4838,1,83.7,48.8,27.0,38.9,110.8,114.5,49.1,1.56,97.58,86.2,46.8,27.5,41.8,111.1,107.6,50.9,1.65,97.06
4899,1,86.0,40.1,27.0,33.3,97.4,104.1,52.8,1.34,96.5,75.0,46.0,20.5,43.9,104.8,105.4,47.6,1.69,93.25
4931,1,83.9,43.0,31.3,31.9,103.8,108.3,49.1,1.22,97.72,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
4945,0,83.1,45.6,27.1,35.4,106.0,103.4,49.0,1.73,96.85,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
4986,1,81.1,43.5,21.9,35.9,105.2,102.3,51.8,1.22,93.88,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
4998,1,83.4,40.9,24.3,32.1,98.2,107.2,48.4,1.31,96.68,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
5014,1,81.1,43.9,20.8,35.4,103.6,104.6,50.7,1.17,93.0,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
5051,0,83.3,44.8,16.4,34.6,102.3,103.4,51.8,1.33,97.41,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
5065,1,85.2,45.3,23.1,37.7,103.7,107.7,49.3,1.42,99.2,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
5084,1,82.1,42.0,27.1,31.6,93.7,104.4,47.9,1.04,98.03,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
5094,1,84.0,41.3,21.7,33.5,100.9,104.6,50.4,1.38,92.26,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
5145,0,88.6,43.3,28.4,31.9,102.9,98.0,50.0,1.5,98.56,80.1,44.8,19.7,29.3,102.0,97.0,50.1,1.32,94.36
5167,1,83.3,48.7,19.3,34.5,113.5,102.7,53.2,1.53,94.64,78.3,47.7,20.7,35.2,104.9,106.1,49.3,1.47,91.79
5183,1,82.4,42.7,27.4,33.1,101.7,98.9,49.1,1.38,93.14,78.3,47.7,20.7,35.2,104.9,106.1,49.3,1.47,91.79
5196,0,84.4,46.6,23.9,38.0,105.2,105.5,47.9,1.73,98.31,78.3,47.7,20.7,35.2,104.9,106.1,49.3,1.47,91.79
